Distance,RussellSpeed,LeclercSpeed,SpeedDifference
0.0,279.0,289.0,-10.0
5.199376598821039,279.4846457813586,289.0,-9.515354218641392
10.398753197642078,280.95663034849883,289.38088480427314,-8.424254455774303
15.598129796463116,282.4286149156391,289.78177912330835,-7.353164207669238
20.797506395284156,283.9005994827794,290.18255614347225,-6.281956660692856
25.996882994105196,285.3725840499197,290.5831930389293,-5.210608989009643
31.196259592926232,286.84456861705996,290.98382993438645,-4.139261317326486
36.39563619174727,288.31655318420025,291.3844668298435,-3.067913645643273
41.59501279056831,289.0,291.78510372530064,-2.785103725300644
46.79438938938935,289.0,292.2005655270062,-3.2005655270061766
51.99376598821039,289.0,292.63317929639965,-3.6331792963996463
57.19314258703143,289.23998606280963,293.06579306579306,-3.8258070029834244
62.392519185852464,289.7760042688737,293.4984068351865,-3.7224025663127804
67.59189578467351,290.3120224749377,293.93102060457994,-3.61899812964225
72.79127238349454,290.84804068100175,294.36363437397335,-3.5155936929716063
77.99064898231559,291.0,294.79624814336677,-3.7962481433667676
83.19002558113662,291.0,295.0,-4.0
88.38940217995766,291.0,295.0,-4.0
93.5887787787787,291.1759049569873,295.0,-3.824095043012676
98.78815537759974,291.46562434676633,295.0,-3.534375653233667
103.98753197642078,291.75534373654534,295.0,-3.244656263454658
109.18690857524182,292.0450631263243,295.09597625497116,-3.0509131286468687
114.38628517406286,292.3347825161033,295.29358769664935,-2.958805180546051
119.5856617728839,292.62450190588225,295.4911991383275,-2.866697232445233
124.78503837170493,292.91422129566126,295.6888105800057,-2.7745892843444153
129.98441497052596,293.0,295.88642202168387,-2.8864220216838703
135.18379156934702,293.0,296.07444490880704,-3.0744449088070382
140.38316816816805,293.17948077948074,296.24950809395256,-3.0700273144718153
145.5825447669891,294.0798057316576,296.424571279098,-2.3447655474404314
150.78192136581012,294.9801306838344,296.59963446424354,-1.6195037804091612
155.98129796463118,295.88045563601116,296.774697649389,-0.8942420133778342
161.18067456345221,296.78078058818795,296.9497608345345,-0.16898024634656394
166.38005116227325,297.0,297.0,0.0
171.57942776109428,297.0,297.0,0.0
176.7788043599153,297.0,297.0,0.0
181.97818095873637,297.0,297.0,0.0
