Driver,Compound,Degradation_sec_per_lap,Correlation,DataPoints
LEC,HARD,-0.07717780748663165,-0.2586952484534011,33
LEC,MEDIUM,0.17998615384615219,0.132424137353766,25
RUS,HARD,-0.202265618254702,-0.37586771288309045,46
RUS,MEDIUM,1.2200909090909045,0.36951288828891293,12
