Driver,Telemetry Data Points,Maximum Speed (km/h),Average Speed (km/h),Maximum Throttle (%),Maximum RPM
George Russell,279,327.0,239.56989247311827,100.0,12166.0
Charles Leclerc,292,318.0,237.7705479452055,100.0,12300.0
