Driver,Distance,RussellSpeed,LeclercSpeed,SpeedDifference
Russell,3982.722474696916,292.0199663237335,264.0173706956123,28.002595628121185
Leclerc,4559.853277166051,135.15526648123912,169.85902744061738,-34.70376095937826
